code,name,r,g,b,白,黒,赤,黄,青,source
95-30H,,92,52,71,20,41,36,1,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=30&c=H
95-40D,,108,87,93,34,33,28,2,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=40&c=D
95-50D,,132,113,118,44,23,27,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=50&c=D
95-50H,,145,108,120,42,19,33,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=50&c=H
95-60B,,153,144,146,56,16,22,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=60&c=B
95-60D,,162,143,148,56,13,25,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=60&c=D
95-70A,,179,174,174,68,9,17,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=70&c=A
95-70B,,181,174,175,68,8,18,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=70&c=B
95-70D,,186,170,174,67,7,20,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=70&c=D
95-70H,,198,161,172,63,5,25,2,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=70&c=H
95-70L,,216,160,178,62,2,28,3,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=70&c=L
95-75A,,189,184,183,72,7,13,4,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=75&c=A
95-80A,,208,203,203,80,3,12,2,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=80&c=A
95-80B,,205,197,198,77,4,14,2,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=80&c=B
95-80D,,212,197,199,77,3,15,2,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=80&c=D
95-85A,,218,215,214,84,2,7,4,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=85&c=A
95-85B,,221,214,213,83,2,9,3,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=85&c=B
95-90A,,234,229,226,88,1,5,4,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=90&c=A
95-90B,,233,226,225,88,1,7,2,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=90&c=B
95-90D,,240,223,226,87,0,9,1,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=95&v=90&c=D
99-40H,,125,81,88,31,26,37,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=99&v=40&c=H
99-60H,,179,136,142,53,9,30,3,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=99&v=60&c=H
99-70D,,188,167,169,65,7,21,3,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=99&v=70&c=D
99-70H,,206,162,167,63,4,25,3,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=99&v=70&c=H
99-70L,,222,156,164,60,2,29,3,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=99&v=70&c=L
99-80B,,208,199,197,77,3,12,4,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=99&v=80&c=B
N-10,,10,12,15,4,89,0,0,7,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=10&c=
N-15,,35,36,38,14,72,0,1,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=15&c=
N-20,,45,45,47,18,66,0,1,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=20&c=
N-25,,55,56,56,22,61,0,6,11,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=25&c=
N-30,,63,66,68,25,54,0,2,19,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=30&c=
N-35,,75,77,79,29,48,0,2,21,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=35&c=
N-40,,86,89,90,34,42,0,4,20,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=40&c=
N-45,,99,102,103,39,36,0,4,21,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=45&c=
N-50,,114,117,117,45,29,0,9,17,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=50&c=
N-55,,130,132,131,51,23,0,12,14,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=55&c=
N-60,,143,144,142,56,19,0,17,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=60&c=
N-65,,154,154,152,60,16,0,20,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=65&c=
N-67,,162,163,161,63,13,0,16,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=67&c=
N-70,,169,170,168,66,11,0,15,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=70&c=
N-72,,176,177,175,69,9,0,14,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=72&c=
N-75,,183,185,183,72,7,0,10,11,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=75&c=
N-77,,191,193,190,74,6,0,12,8,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=77&c=
N-80,,200,201,197,77,5,0,13,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=80&c=
N-82,,208,208,204,80,3,0,13,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=82&c=
N-85,,215,215,210,82,3,0,12,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=85&c=
N-87,,223,222,216,85,2,1,9,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=87&c=
N-90,,230,228,220,86,1,2,8,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=90&c=
N-93,,238,237,230,90,0,1,7,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=93&c=
N-95,,245,247,242,95,0,0,3,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=N&v=95&c=
