code,name,r,g,b,白,黒,赤,黄,青,source
57-40H,,47,110,107,18,32,0,21,29,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=57&v=40&c=H
57-70D,,148,181,176,58,8,0,14,20,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=57&v=70&c=D
57-70H,,120,186,178,47,7,0,19,27,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=57&v=70&c=H
57-80D,,172,215,208,67,2,0,13,18,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=57&v=80&c=D
57-90D,,201,243,233,78,0,0,9,13,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=57&v=90&c=D
59-30H,,0,76,77,0,49,0,0,51,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=59&v=30&c=H
59-50D,,96,124,124,38,26,0,13,23,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=59&v=50&c=D
59-60H,,90,157,157,35,15,0,18,32,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=59&v=60&c=H
59-70L,,73,191,190,28,6,0,24,42,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=59&v=70&c=L
59-80B,,184,210,206,72,3,0,10,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=59&v=80&c=B
59-80D,,173,205,202,67,4,0,11,18,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=59&v=80&c=D
62-30H,,29,88,92,11,41,0,9,39,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=62&v=30&c=H
62-60D,,115,146,147,45,18,0,12,25,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=62&v=60&c=D
62-60H,,92,155,160,36,14,0,13,37,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=62&v=60&c=H
62-70H,,118,193,196,46,5,0,15,34,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=62&v=70&c=H
62-80H,,144,210,212,56,3,0,13,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=62&v=80&c=H
65-20D,,13,42,46,5,67,0,2,26,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=20&c=D
65-20H,,0,58,70,0,53,0,0,47,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=20&c=H
65-30D,,46,71,75,18,50,0,5,27,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=30&c=D
65-40D,,70,98,102,27,36,0,8,29,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=40&c=D
65-40H,,45,106,116,17,30,0,8,45,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=40&c=H
65-50A,,114,119,118,45,28,0,12,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=50&c=A
65-50B,,112,124,125,44,26,0,8,22,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=50&c=B
65-50D,,99,126,131,38,24,0,8,30,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=50&c=D
65-60A,,142,147,146,56,18,0,11,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=60&c=A
65-60B,,138,150,151,54,17,0,8,21,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=60&c=B
65-60D,,127,152,155,50,15,0,9,26,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=60&c=D
65-70A,,165,173,172,65,10,0,10,15,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=70&c=A
65-70B,,163,179,180,64,9,0,8,19,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=65&v=70&c=B
